id	商品名	价格
341247	曼妥思清新薄荷口香糖(瓶装 56g)两连包	18.10
502926	【自营】曼妥思清果无糖口香糖火红鲜果味 清新酸柠...	9.50
341234	曼妥思酸柠红果口香糖(瓶装 56g)两连包	18.10
502931	【自营】曼妥思冻感粒方葡萄味口香糖(瓶装 46g)	9.80
502933	【自营】曼妥思冻感粒方热烈果味口香糖(瓶装 46g)	9.80
341275	曼妥思冻感粒方热烈果味口香糖(瓶装 46g)两连包	18.60
505793	【自营】好时巴达木牛奶巧克力 （袋装82g）	16.20
505794	【自营】好时牛奶巧克力（袋装82g）	16.20
505795	【自营】好时之吻Kisses黑巧克力82g(加量装赠送13g...	16.20
505796	【自营】好时曲奇奶香白巧克力（袋装82g）	16.20
505797	【自营】好时巴旦木牛奶巧克力（袋装146g）	26.90
505798	【自营】好时牛奶巧克力（袋装146g）	26.90
506147	【自营】喜之郎cici5支特惠装(袋装750g）	14.50
506149	【自营】喜之郎蜜桃果冻爽单杯装（杯装218g）	2.50
506151	【自营】喜之郎香橙果冻爽单杯装（杯装218g）	2.50
506175	【自营】梁丰麦丽素80g	3.90
389335	梁丰麦丽素(袋装80g)3连包	9.50
344726	梁丰麦丽素(袋装80g)三连包	11.70
595392	【自营】德芙车厘子黑巧克力100g	21.90
595396	【自营】德芙便携罐装小巧粒黑巧42g	14.90
595395	【自营】德芙便携罐装小巧粒牛奶42g	14.90
593644	【自营】雪原羊奶贝奶片350g	32.00
593643	【自营】雪原牛初乳奶贝350g	32.00
593671	【自营】彩虹 3D立体拼图	10.00
606646	【自营】喜之郎夏日奇冰脆脆冰风味饮料680ml	7.80
10412230	【自营】喜之郎夏日奇冰脆脆冰风味饮料680ml*2	15.60
585985	【自营】益达无糖口香糖摇益摇薄荷味70粒 98g	15.90
606439	【自营】绿箭脆皮软心薄荷糖瓶装留兰香味80g	9.90
606440	【自营】绿箭脆皮软心薄荷糖瓶装柠檬薄荷味80g	9.90
606438	【自营】绿箭脆皮软心薄荷糖瓶装原味80g	9.90
602776	【自营】猫哆哩 西番莲果派 400g	29.90
602461	【自营】生和堂龟苓膏礼盒装 215g*12	44.60
602460	【自营】生和堂秘制冰糖菊花龟苓膏 208g*4	15.00
602596	【自营】KISKIS酷滋无糖薄荷糖 荔枝味 21g	13.50
602599	【自营】KISKIS酷滋咀嚼薄荷糖  绿豆沙味 52g	14.50
10471027	【一元秒杀】KISKIS酷滋咀嚼薄荷糖  绿豆沙味 52g	14.50
539463	【自营】阿尔发木糖醇甜味料（袋装250g）	21.50
80713	【自营】德芙奶白巧克力(袋装 43g ) 新老包装随机发货	7.20
80719	【自营】德芙丝滑牛奶巧克力(袋装 43g ) 新老包装随...	7.20
80742	【自营】德芙榛仁巧克力(袋装 43g ) 新老包装随机发货	7.20
80756	【自营】M&M`s牛奶巧克力豆 100g 新年包装随机发货	15.50
504709	【自营】德芙香浓黑巧克力(袋装 43g ) 新老包装随机...	7.20
506147	【自营】喜之郎cici5支特惠装(袋装750g）	14.50
506149	【自营】喜之郎蜜桃果冻爽单杯装（杯装218g）	2.50
506151	【自营】喜之郎香橙果冻爽单杯装（杯装218g）	2.50
506197	【自营】大白兔奶糖糖果(袋装 114g)	8.40
345572	大白兔奶糖糖果(袋装 114g)两连包	12.40
345403	大白兔奶糖糖果(袋装 114g)两连包	12.40
506175	【自营】梁丰麦丽素80g	3.90
389335	梁丰麦丽素(袋装80g)3连包	9.50
344726	梁丰麦丽素(袋装80g)三连包	11.70
505794	【自营】好时牛奶巧克力（袋装82g）	16.20
505795	【自营】好时之吻Kisses黑巧克力82g(加量装赠送13g...	16.20
505796	【自营】好时曲奇奶香白巧克力（袋装82g）	16.20
505797	【自营】好时巴旦木牛奶巧克力（袋装146g）	26.90
505798	【自营】好时牛奶巧克力（袋装146g）	26.90
505799	【自营】好时黑巧克力 （袋装146g）	26.90
506150	【自营】喜之郎荔枝果冻爽单杯装（杯装218g）	2.50
505793	【自营】好时巴达木牛奶巧克力 （袋装82g）	16.20
521758	【自营】益达瓶装口香糖40粒(清香蜜柚 瓶装 56g)	9.90
526429	【自营】好时之吻Kisses曲奇奶香白巧克力(袋装 146g)	26.90
529809	【自营】好时巴旦木牛奶巧克力 （铁盒装60g）	19.90
530402	【自营】炫迈炫动薄荷味无糖口香糖50.4g	9.90
530403	【自营】炫迈水蜜西瓜味无糖口香糖50.4g	9.90
69401	【自营】德芙丝滑牛奶巧克力(袋装 80g)	12.90
69403	【自营】德芙榛子巧克力(袋装 80g)	12.90
69402	【自营】德芙香浓黑巧克力(袋装 80g)	12.90
69406	【自营】德芙醇黑巧克力66%(袋装 80g)	15.90
500296	【自营】徐福记棉花糖(葡萄 袋装 64g)	4.50
344601	徐福记75棉花糖(葡萄 袋装 64g)两连包	9.50
501019	【自营】旺旺 旺仔QQ糖(青苹果 袋装70g)	3.20
389455	旺仔QQ糖(青苹果 袋装 70g)4连包	9.50
344851	旺仔QQ糖(青苹果 袋装 70g)四连包	9.50
502910	【自营】阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)	8.80
341167	阿尔卑斯荔枝牛奶味棒棒糖(袋装 20支)两连包	16.20
502913	【自营】阿尔卑斯混合水果袋装(袋装 150g)	8.00
323715	阿尔卑斯混合水果袋装(袋装 150g)两连包	13.70
502930	【自营】曼妥思清劲速无糖口香糖冬青薄荷味(瓶装56g)	9.50
341243	曼妥思冬青薄荷口香糖(瓶装 56g)两连包	18.10
502928	【自营】曼妥思清劲速无糖口香糖清新薄荷味(瓶装56g)	9.50
341247	曼妥思清新薄荷口香糖(瓶装 56g)两连包	18.10
502926	【自营】曼妥思清果无糖口香糖火红鲜果味 清新酸柠...	9.50
341234	曼妥思酸柠红果口香糖(瓶装 56g)两连包	18.10
502931	【自营】曼妥思冻感粒方葡萄味口香糖(瓶装 46g)	9.80
502932	【自营】曼妥思冻感粒方薄荷味口香糖(瓶装 46g)	9.80
341264	曼妥思冻感粒方薄荷味口香糖(瓶装 46g)两连包	18.60
502933	【自营】曼妥思冻感粒方热烈果味口香糖(瓶装 46g)	9.80
341275	曼妥思冻感粒方热烈果味口香糖(瓶装 46g)两连包	18.60
502906	【自营】阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)	8.80
341169	阿尔卑斯柠檬牛奶味棒棒糖(袋装 20支)两连包	16.20
504709	【自营】德芙香浓黑巧克力(袋装 43g ) 新老包装随机...	7.20
505793	【自营】好时巴达木牛奶巧克力 （袋装82g）	16.20
505794	【自营】好时牛奶巧克力（袋装82g）	16.20
505795	【自营】好时之吻Kisses黑巧克力82g(加量装赠送13g...	16.20
505796	【自营】好时曲奇奶香白巧克力（袋装82g）	16.20
505797	【自营】好时巴旦木牛奶巧克力（袋装146g）	26.90
505798	【自营】好时牛奶巧克力（袋装146g）	26.90
505799	【自营】好时黑巧克力 （袋装146g）	26.90
509308	【自营】好时精选巧克力礼盒(牛奶+巴旦木 盒装160g)	62.00
511333	【自营】明治56%特纯黑巧克力(65g 块装)	14.90
513018	【自营】旺旺苹果葡萄果肉果冻(袋装 200g)	4.50
513485	【自营】好时曲奇奶香白巧克力(袋装 36g）	7.00
512900	【自营】台湾盛香珍果冻306g（鸡蛋口味）(台湾进口）	19.80
513019	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)	5.00
10433233	【自营】旺旺桔子菠萝果肉果冻(袋装 200g)*2	10.00
526429	【自营】好时之吻Kisses曲奇奶香白巧克力(袋装 146g)	26.90
508134	【自营】绿箭无糖薄荷糖(原味薄荷味 35粒铁盒装 23....	9.20
508135	【自营】绿箭无糖薄荷糖(留兰香薄荷味 35粒铁盒装 2...	9.20
508136	【自营】绿箭无糖薄荷糖(冰柠薄荷味 35粒铁盒装 23....	9.20
508140	【自营】益达木糖醇无糖口香糖(香浓蜜瓜味 40粒瓶装...	9.60
508142	【自营】益达木糖醇无糖口香糖(香橙薄荷味 40粒瓶装...	10.80
341314	益达木糖醇无糖口香糖(香橙薄荷味 40粒瓶装 56g)两...	18.90
508143	【自营】益达木糖醇无糖口香糖清爽西瓜味40粒(瓶装 ...	9.00
10210642	益达木糖醇无糖口香糖清爽西瓜味40粒(瓶装 56g)*2	21.00
508145	【自营】益达无糖口香糖含维生素C+E 清新西柚味 56g	10.80
508147	【自营】彩虹糖原味(瓶装  120g)	10.60
508146	【自营】益达无糖口香糖冰柠味40粒(瓶装?56g)	10.80
506150	【自营】喜之郎荔枝果冻爽单杯装（杯装218g）	2.50
78331	【自营】喜之郎葡萄果冻爽(袋装 150g)	2.30
344883	喜之郎葡萄果冻爽(袋装 150g)五连包	9.50
389481	喜之郎葡萄果冻爽(袋装 150g)5连包	9.50
63989	【自营】KINDER健达缤纷乐夹心牛奶巧克力8条装100g(...	24.80
69402	【自营】德芙香浓黑巧克力(袋装 80g)	12.90
69406	【自营】德芙醇黑巧克力66%(袋装 80g)	15.90
69401	【自营】德芙丝滑牛奶巧克力(袋装 80g)	12.90
69403	【自营】德芙榛子巧克力(袋装 80g)	12.90
501019	【自营】旺旺 旺仔QQ糖(青苹果 袋装70g)	3.20
389455	旺仔QQ糖(青苹果 袋装 70g)4连包	9.50
344851	旺仔QQ糖(青苹果 袋装 70g)四连包	9.50
500296	【自营】徐福记棉花糖(葡萄 袋装 64g)	4.50
344601	徐福记75棉花糖(葡萄 袋装 64g)两连包	9.50
508863	【自营】德菲丝黑色传统巧克力(进口食品 盒装 100g)	29.90
508864	【自营】Truffles德菲丝松露形巧克力（代可可脂）-...	128.00
10071035	Truffles德菲丝松露形巧克力-黑色传统型1000g(比利...	97.50
500267	【自营】徐福记橡皮糖248g	19.90
602598	【自营】KISKIS酷滋咀嚼薄荷糖 水蜜桃味 52g	14.50
565347	【自营】旺旺旺仔牛奶糖(包装巧克力夹心126g)	8.00
605533	【自营】雪原奶香大礼包（酸奶奶豆+原味奶豆+牛初乳...	45.90
508141	【自营】益达木糖醇无糖口香糖(清爽草莓味 40粒瓶装...	9.00
574317	【自营】绿箭无糖薄荷糖茉莉花茶味50粒金属瓶装 新...	12.90
530404	【自营】炫迈跃动鲜果味无糖口香糖50.4g	9.90
63979	【中粮海外直采】FERRERO ROCHER费列罗榛果威化巧克...	128.00
606439	【自营】绿箭脆皮软心薄荷糖瓶装留兰香味80g	9.90
606440	【自营】绿箭脆皮软心薄荷糖瓶装柠檬薄荷味80g	9.90
526036	【自营】TOBLERONE瑞士三角黑巧克力含蜂蜜及巴旦木...	13.80
584068	【包邮直送】义利袋装话梅糖120g*5袋	57.50
584069	【包邮直送】义利袋装黄油球120g*5袋	57.50
584070	【包邮直送】义利袋装酸三色120g*5袋	57.50
584071	【包邮直送】义利罐装精品酥150g*5罐	119.00
579837	【包邮直送】徐福记棉花糖葡萄味54g*10袋	45.00
579836	【包邮直送】徐福记棉花糖蜜桃味54g*10袋	45.00
586585	【包邮直送】忆食间麦芽糖（瓶装330g）	9.90
613991	【包邮直送】陕西富平琼锅糖盒装720g	29.90
613554	【包邮直送】楼兰蜜语花生牛轧糖180g*2正宗手工自制...	28.90
610273	【包邮直送】上好旺花生酥糖传统糕点无添加美食独立...	29.90
610272	【包邮直送】上好旺玉米酥糖传统糕点无添加美食独立...	31.90
598571	【跨境购】意大利Galatine原味奶片糖奶糖果125g	25.00
598569	【跨境购】意大利Ambrosoli奶味蜂蜜糖果135g	22.00
597872	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
597875	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
597876	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
599942	【跨境购】直邮 澳大利亚Gregg果冻粉各种口味85g	15.00
599990	【跨境购】直邮 澳大利亚Sipahh咕噜噜神奇牛奶变味...	62.00
599985	【跨境购】直邮 新西兰nutella费列罗能多益榛子巧克...	62.00
599986	【跨境购】直邮 新西兰Pascall小奶瓶牛奶糖180g	34.00
599987	【跨境购】直邮 新西兰Pascall巧克力夹心糖150g	33.00
613259	【跨境购】直邮澳大利亚Maltesers麦丽素巧克力豆140g	26.00
597872	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
597874	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	36.00
599942	【跨境购】直邮 澳大利亚Gregg果冻粉各种口味85g	15.00
599985	【跨境购】直邮 新西兰nutella费列罗能多益榛子巧克...	62.00
599990	【跨境购】直邮 澳大利亚Sipahh咕噜噜神奇牛奶变味...	62.00
597873	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
597875	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
597876	【跨境购】直邮 澳大利亚Arnott's雅乐思TimTam巧克...	27.00
591820	【包邮直送】广西金嗓子喉宝无蔗糖（西洋参）润喉糖...	88.00
591830	【包邮直送】广西金嗓子喉宝无蔗糖（香橙含片）润喉...	88.00
600020	【跨境购】直邮台湾 丰丹严选本铺 法式杏仁蔓越莓巧...	119.00
600019	【跨境购】直邮台湾 丰丹严选本铺 法式杏仁咖啡牛轧...	119.00
600021	【跨境购】直邮台湾 丰丹严选本铺 法式杏仁蔓越莓牛...	119.00
609091	【跨境购】直邮台湾 茶与饼牛轧糖200g/盒	90.00
609129	【跨境购】直邮台湾 智珗 手工黑糖棒	72.00
605769	【跨境购】直邮 日本LeTAO小樽色内通巧克力夹心饼18...	160.00
605779	【跨境购】直邮 日本Royce北海道三莓果酱夹心生巧克...	90.00
605781	【跨境购】直邮 日本北海道限定明治蘑菇山巧克力草...	119.00
605784	【跨境购】直邮 日本LeTAO牛奶巧克力和白巧克力饼干...	145.00
605785	【跨境购】直邮 日本柿子种米果巧克力和奶酪味16袋/盒	99.00
605796	【跨境购】直邮 日本北海道玫瑰之恋黑巧克力夹心饼...	92.00
605797	【跨境购】直邮 日本北海道玫瑰之恋白巧克力夹心饼...	130.00
605801	【跨境购】直邮 日本LeTAO草莓口味巧克力	95.00
605802	【跨境购】直邮 日本LeTAO牛奶巧克力饼干8个/盒	75.00
605803	【跨境购】直邮 日本LeTAO杏仁可可巧克力125g	99.00
605804	【跨境购】直邮 日本LeTAO夏威夷果口味巧克力125g	99.00
605806	【跨境购】直邮 日本白色恋人北海道白巧克力夹心饼...	119.00
605780	【跨境购】直邮 日本Royce北海道白色牛乳夹心生巧克...	90.00
605807	【跨境购】直邮 日本白色恋人北海道黑/白巧克力夹心...	188.00
605814	【跨境购】直邮 日本白色恋人北海道干烤白巧克力6袋	92.00
605805	【跨境购】直邮 日本白色恋人白色恋人巧克力奶3罐	115.00
607667	【跨境购】直邮 日本LeTAO草莓巧克力片4个/盒	75.00
604624	【跨境购】日本 龙角散 润喉糖 芒果味 20粒/盒	69.00
604623	【跨境购】日本 龙角散 润喉糖 蜜桃味 16袋/盒	69.00
604625	【跨境购】日本 龙角散 润喉糖 薄荷味 16袋/盒	69.00
603095	【跨境购】日本 嘉娜宝Kanebo 玫瑰花香体糖 32g 玫...	12.00
608592	【跨境购】直邮 澳大利亚tic tac嘀嗒糖小黄人糖24g	20.00
80766	【自营】士力架花生夹心巧克力(全家桶 460g)	36.00
575397	【自营】德芙香浓黑巧克力碗装252g 新老包装随机发货	32.50
509307	【自营】好时之吻KISSES缤纷欢乐罐(牛奶巧克力 罐装...	87.00
10071048	好时KISSES缤纷欢乐罐(牛奶巧克力 罐装 340g)	89.00
586075	【自营】嘉士柏正宗风味牛轧糖喜庆装 500g	24.90
586076	【自营】嘉士柏正宗风味牛轧糖牛轧糖蔓越莓味 500g	27.60
575400	【自营】德芙醇黑巧克力(66% 可可)碗装252g	49.90
575396	【自营】德芙丝滑牛奶巧克力碗装252g（18*14g） 新...	32.50
575399	【自营】德芙摩卡榛仁巧克力碗装243g 新老包装随机...	32.50
575398	【自营】德芙榛仁葡萄干巧克力碗243g 新老包装随机...	32.50
552006	【自营】FERRERO ROCHER费列罗臻果威化巧克力32粒（...	168.00
595444	【自营】M&M`s妙趣畅享碗牛奶270g	32.90
59461	【自营】M&M`s 妙趣畅享碗混合270g	33.90
80728	【自营】德芙心语( 礼盒装 98g ) 新老包装随机发货	42.00
80708	【自营】德芙脆香米巧克力(碗装 216g) 新老包装随机...	29.80
80710	【自营】德芙精心之选巧克力礼盒装280g 新老包装随...	129.00
63988	【自营】KINDER健达巧克力4条装50g(德国进口 盒)	7.60
513489	【自营】好时之吻KISSES精选巧克力礼盒（盒装 420g）	118.00
63980	【中粮海外直采】FERRERO ROCHER费列罗榛果威化巧克...	99.00
577054	【包邮直送】南国食品开心椰球榴莲味200g	19.90
